cohort_id,accession,scope,field,local_column,local_scope_regex,local_value,geo_supported_value,status,confidence,direct_url,evidence_note
GSE121636_GSE121637,GSE121637,GEX-to-VDJ pairing,donor_sample_library_relationship,,,cell-level source_accession retains GSE121636 only,each GSE121636 title pairs with the same GU and T/P title in GSE121637,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121637/matrix/GSE121637_series_matrix.txt.gz,Removing the bracketed VDJ suffix gives an exact one-to-one match to all six GEX titles.
GSE121636_GSE121637,GSE121637,VDJ series,assay,,,productive_contigs joined to GEX,Chromium single-cell T-cell V(D)J sequencing,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3440850,The VDJ GSM uses the Chromium V(D)J enrichment kit and deposits filtered contig annotations.
GSE121636_GSE121637,GSE121637,six VDJ specimens,tissue,,,renal tumor or matched peripheral blood,three renal tumors and three matched peripheral-blood specimens,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121637/matrix/GSE121637_series_matrix.txt.gz,The VDJ matrix repeats the same GU patient/specimen identifiers and labels renal tumor versus matched peripheral blood.
GSE159251,GSE159251,GSM4824347 through GSM4824349,assay_and_processed_object_relationship,,,VDJ-labelled GSM selected as local combined RNA+TCR object,VDJ-labelled GSM deposits an RDS containing an RNA assay and TCR metadata; no separate GEX GSM exists for these three samples,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4824347,The GSM processing note explicitly states that its RDS contains the RNA count assay and TCR fields.
GSE159251,GSE159251,blood and tumor samples,specimen_context,specimen_context,,blood|metastatic_tumor,blood or metastatic melanoma lesion,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159251,The series describes advanced metastatic melanoma and paired blood with tumor samples.
GSE159251,GSE159251,cohort,tumor_type,diagnosis,,metastatic_melanoma,advanced metastatic melanoma,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159251,The title and design explicitly identify advanced metastatic melanoma.
GSE159251,GSE159251,four donors and selected processed objects,donor_sample_library_relationship,,,4 donors; 9 selected local sample objects,four patient identifiers; baseline paired blood/tumor where available; follow-up blood for K411 and K468,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159251/matrix/GSE159251_series_matrix.txt.gz,GEO titles encode donor and site; the design states four baseline patients and two longitudinal blood samples.
GSE159251,GSE159251,longitudinal samples,treatment_timepoint,,,not represented in canonical local extension fields,baseline samples are checkpoint-therapy naive; K411 and K468 follow-up blood is post-checkpoint therapy,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4824347,The GSM treatment protocol and time-point characteristics explicitly distinguish baseline from the two follow-up samples.
GSE159251,GSE159251,nine selected local libraries,tissue,tissue,,blood|lymph_node|subcutaneous_metastasis,peripheral blood; involved regional lymph node; axillary subcutaneous metastasis,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159251/matrix/GSE159251_series_matrix.txt.gz,Sample characteristics distinguish blood from two explicit metastatic sites.
GSE159251,GSE159251,remaining paired GEX and VDJ titles,assay,,,GEX RDS with embedded partial TRA/TRB metadata,10x 5-prime gene expression with paired TCR sequencing,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159251,GEO notes that processed files generated from GEX and VDJ are linked to the corresponding GEX sample records.
GSE169246,GSE169246,78 non-ATAC source libraries,donor_sample_library_relationship,,,22 donors; 51 biological sample IDs; 78 source libraries; 76 retained after T/NK filtering,22 patients with Pre Post or Progression groups and separate _b/_t library titles; five ATAC GSMs are distinct,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169246/matrix/GSE169246_series_matrix.txt.gz,The matrix lists 83 GSMs: 78 RNA/VDJ records used by this object plus five titles explicitly marked ATAC-Seq.
GSE169246,GSE169246,all retained cells,timepoint_group,timepoint_group,,<blank>|Post-treatment|Pre-treatment,Pre-treatment Post-treatment or Progression per GSM,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169246/matrix/GSE169246_series_matrix.txt.gz,"The official group characteristic includes Progression, which is blank in the local timepoint_group field."
GSE169246,GSE169246,all retained cells,treatment,treatment,,<blank>|PTX|PTX+Anti-PD-L1,paclitaxel monotherapy or paclitaxel plus atezolizumab per GSM,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169246/matrix/GSE169246_series_matrix.txt.gz,Treatment is present per official GSM; local blanks reflect the same incomplete patient/timepoint join that affects tissue.
GSE169246,GSE169246,all retained cells,tumor_type,diagnosis,,triple_negative_breast_cancer,advanced triple-negative breast cancer,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169246,Series and sample records explicitly identify TNBC patients.
GSE169246,GSE169246,all retained libraries ending _b,specimen_context,specimen_context,.*_b$,metastatic_tumor|other_tissue|primary_tumor,blood,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5188367,"The representative _b GSM and the full matrix identify these records as peripheral blood, so all three local specimen labels are incorrect for this scope."
GSE169246,GSE169246,all retained libraries ending _b,tissue,tissue,.*_b$,<blank>|breast|chest_wall|liver|lung|lymph_node,blood,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169246/matrix/GSE169246_series_matrix.txt.gz,Every official non-ATAC title ending _b has tissue blood; local patient/timepoint joins incorrectly propagated paired tumor sites or blanks to these blood libraries.
GSE169246,GSE169246,non-ATAC GSMs,assay,,,processed RNA object with embedded paired TRA/TRB; no assay column,10x 5-prime RNA plus VDJ; five separate ATAC-Seq GSMs are outside the local object,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5188367,GSM extraction and processing metadata state 10x 5-prime plus VDJ; the separate ATAC example uses genomic DNA and ATAC-Seq.
GSE169246,GSE169246,paired blood and tumor at one patient/timepoint,sample_id,,,the same patient/timepoint sample_id can label both _b and _t libraries,use the official GSM title or a derived specimen key retaining patient timepoint and _b/_t compartment,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169246,Official titles retain compartment suffixes; dropping them collapses biologically distinct blood and tumor specimens.
GSE169246,GSE169246,retained libraries ending _t,tissue,,,local tumor-site values are partly blank or inherited by patient/timepoint,library-specific breast brain chest_wall liver lung or lymph_node as recorded by each GSM,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169246/matrix/GSE169246_series_matrix.txt.gz,"The official matrix provides a tissue value for each tumor-title record, including progression brain and liver sites."
GSE169246,GSE169246,tumor records at breast or chest_wall sites,specimen_context_primary_vs_metastatic,,,local values include primary_tumor or metastatic_tumor,tumor biopsy at the recorded site; exact primary recurrent locoregional or metastatic class not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169246,The series says primary or metastatic tumor tissues overall but does not assign that distinction to each breast or chest-wall GSM.
GSE292700,GSE292700,all six biological specimens,tumor_type_and_disease,diagnosis,,lung_adenocarcinoma,lung adenocarcinoma patient specimens,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292700/matrix/GSE292700_series_matrix.txt.gz,Disease state is lung adenocarcinoma for tumor adjacent and blood records; adjacent and blood are not healthy-control donors.
GSE292700,GSE292700,six GEX and six TCR GSMs,assay,,,separate GEX and productive-contig inputs,10x scRNA-seq for six GSMs and 10x scTCR-seq for six title-matched GSMs,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292700/matrix/GSE292700_series_matrix.txt.gz,GEX records use RNA-Seq and TCR records use OTHER with explicit scTCR descriptions.
GSE292700,GSE292700,six GEX libraries,tissue,tissue,,adjacent_tissue|blood|tumor,tumor; paracancerous adjacent tissue; peripheral blood,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292700/matrix/GSE292700_series_matrix.txt.gz,The matrix gives all three specimen classes for each BRCA-mutant donor.
GSE292700,GSE292700,tumor libraries,specimen_context_primary_vs_metastatic,specimen_context,,adjacent_non_tumor|blood|primary_tumor,tumor adjacent tissue or blood; primary versus metastatic tumor status not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292700,GEO supports adjacent and blood distinctions but does not explicitly classify the tumor as primary or metastatic.
GSE292700,GSE292700,two donors,patient_demographics_stage_treatment_response,,,not present locally,,unavailable_in_geo,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292700,The reviewed series and matrix do not deposit donor demographics stage treatment or response.
GSE292700,GSE292700,two donors and paired specimen classes,donor_sample_library_relationship,,,LC001 and LC002; each has tumor adjacent and blood GEX libraries,LC001 is BRCA2-mutant and LC002 is BRCA1-mutant; each specimen has title-matched GEX and TCR GSMs,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292700/matrix/GSE292700_series_matrix.txt.gz,Library descriptions encode LC001T/N/B and LC002T/N/B with corresponding -TCR records.
GSE294273_GSE294274,GSE294273,GEX series,assay,,,scRNA,single-cell RNA sequencing,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294273/matrix/GSE294273_series_matrix.txt.gz,All GSE294273 records use RNA-Seq and transcriptomic single-cell library source.
GSE294273_GSE294274,GSE294273,cohort,tumor_type,diagnosis,,melanoma,stage III or IV metastatic melanoma,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294273/matrix/GSE294273_series_matrix.txt.gz,The series summary and design identify metastatic melanoma and a stage III/IV cohort.
GSE294273_GSE294274,GSE294273,individual patients,patient_stage_demographics_specific_ici_regimen,,,not present in canonical local fields,,unavailable_in_geo,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294273,GEO provides cohort-level stage III/IV and untreated resistant or responder groups but not per-patient stage demographics or a specific ICI regimen.
GSE294273_GSE294274,GSE294273,twelve GEX libraries,specimen_context,specimen_context,,metastatic_tumor,metastatic tumor in lymph node,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294273/matrix/GSE294273_series_matrix.txt.gz,Series-level metastatic melanoma context resolves the otherwise generic lymph-node source.
GSE294273_GSE294274,GSE294273,twelve GEX libraries,tissue,tissue,,lymph_node_metastasis,metastatic melanoma lymph-node samples,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294273/matrix/GSE294273_series_matrix.txt.gz,The sample source is lymph node and the series summary explicitly calls the specimens metastatic melanoma lymph-node samples.
GSE294273_GSE294274,GSE294273,twelve HM specimens,donor_sample_library_relationship,,,12 sample_id values also used as donor_id,each HM identifier is one patient specimen with one GEX GSM,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294273/matrix/GSE294273_series_matrix.txt.gz,The GEX matrix lists twelve unique HM identifiers.
GSE294273_GSE294274,GSE294274,GEX-to-TCR pairing,donor_sample_library_relationship,,,cell-level source_accession retains GSE294273 only,each HM identifier in GSE294273 has exactly one matching HM TCR title in GSE294274,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294274/matrix/GSE294274_series_matrix.txt.gz,Removing _GEX and _TCR gives a deterministic one-to-one pair for all twelve specimens.
GSE294273_GSE294274,GSE294274,TCR series,assay,,,productive TCR contigs joined to GEX,single-cell TCR sequencing,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294274/matrix/GSE294274_series_matrix.txt.gz,All GSE294274 records use OTHER strategy and are explicitly the scTCR-seq subseries.
GSE296954,GSE296954,A and B biopsies,treatment_timepoint,,,not retained as canonical local treatment fields,A is treatment-naive; B is after bintrafusp alfa alone or bintrafusp alfa plus Tri-Ad5 according to the GSM,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,Official GSM characteristics give treatment assignment and the series describes pre/post treatment biopsies.
GSE296954,GSE296954,GEX and VDJ records,assay,,,separate GEX and productive-contig inputs,10x 5-prime scRNA-seq and matched scVDJ-seq of sorted tumor-infiltrating T cells,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,The series roster separates 22 scRNA GSMs from 22 scVDJ GSMs with matching sample suffixes.
GSE296954,GSE296954,cohort,tumor_type,diagnosis,,head_and_neck_squamous_cell_carcinoma,HPV-unrelated head and neck squamous cell carcinoma,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,The series summary explicitly identifies HPV-unrelated HNSCC.
GSE296954,GSE296954,eleven paired patients,donor_sample_library_relationship,,,11 donor IDs; A and B samples; 22 GEX libraries,eleven patients each have an A pre-treatment and B post-treatment tumor biopsy with matching GEX and VDJ GSMs,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,GEO titles list 1A through 21B for GEX and repeat the same identifiers for VDJ.
GSE296954,GSE296954,individual patients,response_demographics_stage,,,not present locally,,unavailable_in_geo,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,The reviewed GEO series and sample metadata do not deposit per-patient response demographics or stage.
GSE296954,GSE296954,tumor biopsies,specimen_context_primary_vs_metastatic,specimen_context,,primary_tumor,tumor biopsy from newly diagnosed HPV-unrelated HNSCC; exact anatomic primary nodal or metastatic site not deposited,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,Newly diagnosed status supports untreated tumor context but GEO does not explicitly locate each biopsy as primary rather than nodal or metastatic.
GSE296954,GSE296954,twenty-two GEX libraries,tissue,tissue,,tumor,HNSCC tumor tissue,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296954,Every sample source and tissue characteristic is tumor tissue.
GSE315928,GSE315928,33 patients and 94 longitudinal samples,donor_sample_library_relationship,,,33 donor IDs; 94 sample IDs; 94 local libraries,33 patients with B F1 and where available F2 samples; one GSM and one deposited H5AD per sample title,resolved_verified_local,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315928/matrix/GSE315928_series_matrix.txt.gz,The matrix contains 94 unique E-patient sample titles and matching GSM accessions.
GSE315928,GSE315928,B F1 and F2 suffixes,timepoint,timepoint,,B|F1|F2,pre-treatment post-chemotherapy and post-immunotherapy sampling stages; exact suffix-to-stage mapping is not explicit in the series matrix alone,ambiguous_geo_partial,medium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315928,"The series defines three longitudinal stages, but the reviewed matrix only supplies B/F1/F2 titles without a direct suffix dictionary."
GSE315928,GSE315928,all specimens,specimen_context,specimen_context,,primary_tumor,primary tumor biopsy,resolved_verified_local,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315928,The series summary and all sample source values explicitly identify primary tumor biopsies.
GSE315928,GSE315928,cohort,tumor_type,diagnosis,,gastric_cancer,advanced gastric cancer,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315928,The series title and summary explicitly describe advanced gastric cancer.
GSE315928,GSE315928,deposited sample workbook,tumor_grade,,,no canonical local field; deposited workbook column is blank,,unavailable_in_geo,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315928/suppl/GSE315928_Paired_scRNA_TCR-seq_Sample_metadata.xlsx,The GEO-hosted sample workbook includes a tumor-grade column but does not provide grade values.
GSE315928,GSE315928,ninety-four combined sample records,tissue,tissue,,tumor,primary gastric tumor,resolved_geo_value_local_unresolved,high,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315928/matrix/GSE315928_series_matrix.txt.gz,Every GSM source and tissue characteristic is Primary gastric tumor.
GSE315928,GSE315928,one combined record per sample,assay,,,embedded AIRR TRA/TRB in an RNA H5AD,paired single-cell RNA and TCR sequencing in each deposited sample H5AD,resolved_geo_value_local_unresolved,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315928,The series explicitly labels paired scRNA/TCR-seq and each GSM deposits one H5AD rather than a separate TCR accession.
