scanvi_detailed_label,scanvi_tnk_superclass,cells,mean_confidence
colon macrophage,reference_other,1921,0.16638081
type B pancreatic cell,reference_other,1701,0.09272228
transit amplifying cell of colon,reference_other,1699,0.0746443
neuron,reference_other,1672,0.16668078
sebum secreting cell,reference_other,1490,0.109026924
ciliated cell,reference_other,1472,0.17806382
conventional dendritic cell,reference_other,1406,0.13206786
mast cell,T_cell,1047,0.35570326
alternatively activated macrophage,reference_other,1011,0.14341363
tracheal goblet cell,T_cell,991,0.118721806
early promyelocyte,reference_other,983,0.1304407
neoplastic cell,reference_other,802,0.227931
medullary thymic epithelial cell type 1,reference_other,711,0.12790544
sst GABAergic cortical interneuron,reference_other,711,0.13221177
multi-ciliated epithelial cell,reference_other,667,0.17744893
abnormal cell,reference_other,662,0.11627459
tonsil germinal center B cell,reference_other,650,0.15531467
stem cell,reference_other,649,0.078826435
endothelial cell,reference_other,617,0.093947604
bone marrow cell,reference_other,590,0.4521059
"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",reference_other,587,0.15974899
common myeloid progenitor,reference_other,584,0.15175967
medullary thymic epithelial cell type 2,reference_other,584,0.15614569
lung secretory cell,reference_other,583,0.19079012
fibroblast of breast,reference_other,492,0.2850539
primordial germ cell,reference_other,404,0.06322396
basal-myoepithelial cell of mammary gland,reference_other,398,0.20264395
pulmonary artery endothelial cell,reference_other,383,0.083638795
myeloid leukocyte,reference_other,371,0.13050555
hair follicular keratinocyte,reference_other,361,0.21191408
secretory cell,reference_other,361,0.19239925
hematopoietic multipotent progenitor cell,reference_other,351,0.23003107
progenitor cell,reference_other,351,0.07598005
adventitial cell,reference_other,341,0.22214596
corticomedullary thymic epithelial cell,reference_other,327,0.09436149
CD1c-positive myeloid dendritic cell,reference_other,308,0.21307324
melanocyte,reference_other,300,0.111742936
club cell,reference_other,290,0.12830763
pericyte,reference_other,290,0.25656366
fibroblast,reference_other,275,0.2501231
enterocyte,reference_other,267,0.18501535
mesenchymal cell,reference_other,257,0.1444582
basal cell of prostate epithelium,reference_other,256,0.21815866
primitive red blood cell,reference_other,236,0.27352664
vascular leptomeningeal cell,reference_other,236,0.36662698
neuroendocrine cell,reference_other,221,0.14024681
lung ciliated cell,reference_other,216,0.21359874
basal cell,reference_other,205,0.2712869
pulmonary alveolar type 1 cell,reference_other,205,0.07509226
renal beta-intercalated cell,reference_other,188,0.16936769
pro-B cell,reference_other,187,0.11189691
retinal ganglion cell,reference_other,182,0.09388036
germ cell,reference_other,181,0.14132817
megakaryocyte,reference_other,166,0.34732002
erythroid progenitor cell,reference_other,164,0.24570468
epithelial cell,reference_other,160,0.07115094
myofibroblast cell,T_cell,154,0.2921432
granulocyte,reference_other,142,0.13385999
large pre-B-II cell,reference_other,135,0.09859418
granulocyte monocyte progenitor cell,reference_other,134,0.17688304
stromal cell,reference_other,127,0.17599097
epithelial cell of alveolus of lung,reference_other,122,0.12963176
mural cell,reference_other,110,0.28020602
pulmonary alveolar type 2 cell,reference_other,100,0.16034776
glial cell,reference_other,92,0.114007525
IgG memory B cell,reference_other,91,0.05057702
blood vessel endothelial cell,reference_other,90,0.29784206
vasa recta descending limb cell,reference_other,88,0.08591132
megakaryocyte-erythroid progenitor cell,reference_other,77,0.20799637
perivascular cell,reference_other,75,0.20295386
basal cell of urothelium,reference_other,67,0.1413595
cortical thymic epithelial cell,reference_other,67,0.15110509
oral mucosa squamous cell,reference_other,67,0.2144316
stromal cell of ovary,reference_other,62,0.1297312
muscle cell,reference_other,58,0.091473274
transit amplifying cell,reference_other,56,0.15275618
endothelial cell of artery,reference_other,47,0.29174674
oocyte,reference_other,43,0.22197007
smooth muscle cell of the pulmonary artery,reference_other,42,0.08159051
myoblast,reference_other,41,0.097479135
centrocyte,reference_other,35,0.41481277
Schwann cell precursor,reference_other,28,0.20605476
caudal ganglionic eminence derived interneuron,reference_other,28,0.2596024
vein endothelial cell,reference_other,28,0.24126549
malignant cell,T_cell,26,0.17434575
fibroblast of lung,reference_other,23,0.15237321
capillary endothelial cell,reference_other,15,0.22091404
bronchial goblet cell,T_cell,13,0.12225972
