old_path,new_path,category,reason
run_gdtai_transcriptome_gate_cascade.py,workflows/gdtai/run_gdtai_transcriptome_gate_cascade.py,gdtai,Classifier experiment
run_gdtai_v3_trdc_nk_failure_audit.py,workflows/gdtai/run_gdtai_v3_trdc_nk_failure_audit.py,gdtai,Classifier audit
run_gdtai_v3_trdc_nk_guard_classifier.py,workflows/gdtai/run_gdtai_v3_trdc_nk_guard_classifier.py,gdtai,Promoted classifier training
run_gdtai_v4_tcell_gate_classifier.py,workflows/gdtai/run_gdtai_v4_tcell_gate_classifier.py,gdtai,Experimental classifier training
run_tn_fn_trd_gt0p1_deg_reproducibility.py,workflows/gdtai/run_tn_fn_trd_gt0p1_deg_reproducibility.py,gdtai,Classifier feature analysis
run_trd_gt0p1_high_no_ab_vs_low_ab_deg_reproducibility.py,workflows/gdtai/run_trd_gt0p1_high_no_ab_vs_low_ab_deg_reproducibility.py,gdtai,Classifier feature analysis
supplementary_10x5_phase01.py,workflows/intake/supplementary_10x5_phase01.py,intake,Supplementary intake
tissue_correction_workflow.py,workflows/metadata/tissue_correction_workflow.py,metadata,Metadata harmonization
validate_supplementary_10x5_schema.py,workflows/intake/validate_supplementary_10x5_schema.py,intake,Supplementary validation
watch_h5ad_v2_and_resume.py,workflows/maintenance/watch_h5ad_v2_and_resume.py,maintenance,Legacy recovery monitor
