dataset_id,source_type,accession,phase0_active,current_milestone_active,current_cell_count,extended_atlas_active,extended_atlas_cell_count,integration_role,legacy_raw_path,processed_h5ad_path,status,exclusion_reason,notes
GSE232240,GEO,GSE232240,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE232240,downloads/per_gse_h5ad_with_metadata/GSE232240_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE234069,GEO,GSE234069,false,true,20807,true,20807,current_atlas_input,downloads/GSE234069,downloads/per_gse_h5ad_with_metadata/GSE234069_with_tcr.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE234352,GEO,GSE234352,false,false,0,false,0,available_not_selected,downloads/GSE234352,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE235863,GEO,GSE235863,false,true,241766,true,241766,current_atlas_input,downloads/GSE235863,downloads/per_gse_h5ad_with_metadata/GSE235863_with_tcr.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE240361,GEO,GSE240361,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE240361,downloads/per_gse_h5ad_with_metadata/GSE240361_with_metadata.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE240865,GEO,GSE240865,false,true,21680,true,21680,current_atlas_input,downloads/GSE240865,downloads/per_gse_h5ad_with_metadata/GSE240865_with_tcr.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE241783,GEO,GSE241783,true,false,0,false,0,phase0_input_not_in_current_milestone,downloads/GSE241783,downloads/per_gse_h5ad_with_metadata/GSE241783_with_tcr.h5ad,excluded_after_phase0,not present in current milestone,Generated from legacy paths; assay and cohort semantics require curated review.
GSE243013,GEO,GSE243013,true,true,759436,true,759436,current_atlas_input,,downloads/per_gse_h5ad_with_metadata/GSE243013_TNK.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE243572,GEO,GSE243572,true,true,188217,true,188217,current_atlas_input,downloads/GSE243572,analysis_26GSE_V4/scanpy_projects/GSE243572/outputs/GSE243572_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE243905,GEO,GSE243905,true,true,350438,true,350438,current_atlas_input,downloads/GSE243905,analysis_26GSE_V4/scanpy_projects/GSE243905/outputs/GSE243905_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE247531,GEO,GSE247531,false,false,0,false,0,available_not_selected,downloads/GSE247531,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE252762,GEO,GSE252762,true,true,45132,true,45132,current_atlas_input,downloads/GSE252762,analysis_26GSE_V4/scanpy_projects/GSE252762/outputs/GSE252762_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE253173,GEO,GSE253173,false,false,0,false,0,available_not_selected,downloads/GSE253173,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE254176,GEO,GSE254176,true,true,96953,true,96953,current_atlas_input,downloads/GSE254176,analysis_26GSE_V4/scanpy_projects/GSE254176/outputs/GSE254176_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE254249,GEO,GSE254249,true,true,406494,true,406494,current_atlas_input,downloads/GSE254249,analysis_26GSE_V4/scanpy_projects/GSE254249/outputs/GSE254249_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE267639,GEO,GSE267639,false,false,0,false,0,available_not_selected,downloads/GSE267639,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE267642,GEO,GSE267642,false,false,0,false,0,available_not_selected,downloads/GSE267642,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE267645,GEO,GSE267645,true,true,92501,true,92501,current_atlas_input,downloads/GSE267645,analysis_26GSE_V4/scanpy_projects/GSE267645/outputs/GSE267645_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE271413,GEO,GSE271413,false,false,0,false,0,available_not_selected,downloads/GSE271413,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE273170,GEO,GSE273170,false,false,0,false,0,available_not_selected,downloads/GSE273170,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE276167,GEO,GSE276167,false,false,0,false,0,available_not_selected,downloads/GSE276167,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE278119,GEO,GSE278119,false,false,0,false,0,available_not_selected,downloads/GSE278119,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE286518,GEO,GSE286518,false,false,0,false,0,available_not_selected,downloads/GSE286518,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE287301,GEO,GSE287301,false,true,340227,true,340227,current_atlas_input,downloads/GSE287301,downloads/per_gse_h5ad_with_metadata/GSE287301_with_tcr.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE287541,GEO,GSE287541,false,true,110874,true,110874,current_atlas_input,downloads/GSE287541,downloads/per_gse_h5ad_with_metadata/GSE287541_with_tcr.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE288452,GEO,GSE288452,false,false,0,false,0,available_not_selected,downloads/GSE288452,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE296971,GEO,GSE296971,false,false,0,false,0,available_not_selected,downloads/GSE296971,,available,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE301528,GEO,GSE301528,true,true,44105,true,44105,current_atlas_input,downloads/GSE301528,analysis_26GSE_V4/scanpy_projects/GSE301528/outputs/GSE301528_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE308075,GEO,GSE308075,true,true,112337,true,112337,current_atlas_input,downloads/GSE308075,analysis_26GSE_V4/scanpy_projects/GSE308075/outputs/GSE308075_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
GSE311112,GEO,GSE311112,true,true,90599,true,90599,current_atlas_input,downloads/GSE311112,analysis_26GSE_V4/scanpy_projects/GSE311112/outputs/GSE311112_scanpy_processed.h5ad,active,,Generated from legacy paths; assay and cohort semantics require curated review.
HRA005041,local_external,HRA005041,false,false,0,true,766639,extended_five_million_atlas_input,newdata/HRA005041,downloads/per_gse_h5ad_with_metadata/HRA005041_T_cells_subset.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review.
MalteGDT,local_external,MalteGDT,false,false,0,true,7800,extended_five_million_atlas_input,newdata/Sorted_gdT,newdata/Sorted_gdT/MalteGDT_sorted_gdt.h5ad,active_extended_atlas,,Generated from legacy paths; assay and cohort semantics require curated review.
